"id","area","descripcion"
"1","BD",NULL
"2","BACKUP",NULL
"3","COMUNICACIONES",NULL
"4","UNIX",NULL
"5","UNIX - ALTAMIRA",NULL
"6","UNIX - BD",NULL
"7","WINDOWS",NULL
"8","N/A",NULL
"id","bus","descripcion"
"1","BUS DE PAGOS Y RECARGAS1 ",NULL
"2","BUS DE PAGOS Y RECARGAS2 ",NULL
"3","BUS EXTERNO",NULL
"4","BUS INTERNO",NULL
"5","N/A",NULL
"6","TV DIGITAL",NULL
"id","id_servicio","canal_aplicativo","descripcion"
"1","1","ALTAMIRA - PREPAGO",NULL
"2","1","POSTPAGO - ICS",NULL
"3","1","POSTPAGO- FACTEL",NULL
"4","1","POSTPAGO FIDELIZAME  - MCRAS1",NULL
"5","2","APP",NULL
"6","2","BANCOS Y GRE",NULL
"7","2","MM",NULL
"8","3","INTERMEDIATE",NULL
"9","4","FACTURACION POSTPAGO DE VOZ - DATOS - SMS",NULL
"10","5","APP CAPTURE",NULL
"11","5","APROVISIONAMIENTO ACTIVACION / DESACTIVACION (VOZ - DATOS - SMS - TV)",NULL
"12","5","CVSC",NULL
"13","5","GESTOR DOCUMENTAL",NULL
"14","6","ACTIVACION",NULL
"15","7","DNS",NULL
"16","7","DNS - COLGATE",NULL
"17","7","M-CONTENIDO",NULL
"18","7","PORTAL SENIAT",NULL
"19","7","REMEDI TI",NULL
"20","7","REMEDY",NULL
"21","7","REMEDY EMPRESA",NULL
"22","8","ALTAMIRA - PREPAGO",NULL
"23","8","POSTPAGO - ICS",NULL
"24","8","POSTPAGO- FACTEL",NULL
"25","8","POSTPAGO FIDELIZAME  - MCRAS1",NULL
"id","capa_tuxedo","descripcion"
"1","BATCHRAT",NULL
"2","BBS_GW",NULL
"3","CVSC_GW",NULL
"4","CVSCBDC",NULL
"5","CVSCPSP",NULL
"6","CVSCWSP",NULL
"7","DATOSRAT",NULL
"8","FASTWAY",NULL
"9","FNCDMA",NULL
"10","FNDATOS ",NULL
"11","FNGSM",NULL
"12","GPSPAA",NULL
"13","GTUXBILL",NULL
"14","IME",NULL
"15","KANNEL",NULL
"16","N/A",NULL
"17","PREBDAT",NULL
"18","PREBRAT",NULL
"19","PSPOL",NULL
"20","SMSRAT",NULL
"21","TRANF_BE ",NULL
"22","TRANFSAL ",NULL
"23","TUXBBS",NULL
"24","VOZRATING",NULL
"nivel_criticidad","servicio_asociado","canal_aplicativo","area","servidor","ip","hostname","sistema_operativo","vs_so","bbdd","dbms","vs_bd","bus","capa_tuxedo","weblogic","f5_comunicaciones","ip_f5","port_f5","pools_vs","otro_servicio_asociado","ubicacion","rack","fila","observacion_general","id"
"MEDIA","ACTIVACION","APROVISIONAMIENTO ACTIVACION / DESACTIVACION (VOZ - DATOS - SMS - TV)","UNIX - BD","TMP078","10.164.14.81","TMP078","SOLARIS","SUNOS 5.10 SUN4V","FASTW1","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","MARACAY","AJ07","7","N/A","1"
"MEDIA","ACTIVACION","APROVISIONAMIENTO ACTIVACION / DESACTIVACION (VOZ - DATOS - SMS - TV)","UNIX - BD","TMP079","10.164.14.85","TMP079","SOLARIS","SUNOS 5.10 SUN4V","FASTW2","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","MARACAY","AM14","14","N/A","2"
"MEDIA","ACTIVACION ","CVSC","UNIX - BD","TMP104","10.164.12.113 ","TMP104","LINUX","ENTERPRISE LINUX SERVER RELEASE 6.2 (SANTIAGO)","HBILLING1","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","MARACAY","BA14","14","N/A","3"
"MEDIA","ACTIVACION","APROVISIONAMIENTO ACTIVACION / DESACTIVACION (VOZ - DATOS - SMS - TV)","UNIX - BD","TCA149","10.161.222.195","TCA149","SUNOS","SUNOS 5.10","PERS1","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NULL,NULL,"N/A","4"
"MEDIA","ACTIVACION ","CVSC","UNIX - BD","TMP105","10.164.12.127","TMP105","LINUX","ENTERPRISE LINUX SERVER RELEASE 6.2 (SANTIAGO)","HBILLING2","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","MARACAY","AF11","11","N/A","5"
"MEDIA","ACTIVACION","APROVISIONAMIENTO ACTIVACION / DESACTIVACION (VOZ - DATOS - SMS - TV)","UNIX - BD","TMP133","10.164.21.106","TMP133","SUNOS","SUNOS 5.11","IVR1","ORACLE","11-2-0-4-0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","MARACAY","N/A","N/A","LDOM_MARACAY1","6"
"MEDIA","ACTIVACION","APROVISIONAMIENTO ACTIVACION / DESACTIVACION (VOZ - DATOS - SMS - TV)","UNIX - BD","TMP134","10.164.21.107","TMP134","SUNOS","SUNOS 5.11","IVR2","ORACLE","11-2-0-4-0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","MARACAY","N/A","N/A","LDOM_MARACAY1","7"
"MEDIA","ACTIVACION ","CVSC","UNIX - BD","TCA149","10.161.222.195","TCA149","SUNOS","SUNOS 5.10","PERS1","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CANAIMA","N/A","N/A","LDOM_CANAIMA2 ","8"
"MEDIA","ACTIVACION ","CVSC","UNIX - BD","TCA151","10.161.222.196","TCA151","SUNOS","SUNOS 5.10","PERS2","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","CANAIMA","N/A","N/A","N/A","9"
"MEDIA","ACTIVACION ","CVSC","UNIX - BD","TMP036","10.164.12.139","TMP036","SUNOS","SUNOS 5.11","RATING1","ORACLE","11.2.0.4.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","MARACAY","N/A","N/A","LDOM_MARACAY2","10"
